Country,code,Year,Method,Value
Turkmenistan,TKM,2017,Kmean,4
Uganda,UGA,2017,Kmean,2
Ukraine,UKR,2017,Kmean,1
United Arab Emirates,ARE,2017,Kmean,5
United Kingdom,GBR,2017,Kmean,5
United States,USA,2017,Kmean,5
Uruguay,URY,2017,Kmean,5
Uzbekistan,UZB,2017,Kmean,4
Venezuela,VEN,2017,Kmean,4
Vietnam,VNM,2017,Kmean,3
Yemen,YEM,2017,Kmean,2
Zambia,ZMB,2017,Kmean,3
Zimbabwe,ZWE,2017,Kmean,2
Afghanistan,AFG,2015,Hieratical,1
Albania,ALB,2015,Hieratical,2
Algeria,DZA,2015,Hieratical,3
Angola,AGO,2015,Hieratical,1
Argentina,ARG,2015,Hieratical,4
Armenia,ARM,2015,Hieratical,2
Australia,AUS,2015,Hieratical,4
Austria,AUT,2015,Hieratical,4
Azerbaijan,AZE,2015,Hieratical,5
Bahrain,BHR,2015,Hieratical,5
Bangladesh,BGD,2015,Hieratical,1
Belarus,BLR,2015,Hieratical,5
Belgium,BEL,2015,Hieratical,4
Belize,BLZ,2015,Hieratical,3
Benin,BEN,2015,Hieratical,1
Bhutan,BTN,2015,Hieratical,2
Bolivia,BOL,2015,Hieratical,3
Bosnia and Herzegovina,BIH,2015,Hieratical,5
Botswana,BWA,2015,Hieratical,2
Brazil,BRA,2015,Hieratical,4
Bulgaria,BGR,2015,Hieratical,2
Burkina Faso,BFA,2015,Hieratical,1
Burundi,BDI,2015,Hieratical,1
Cambodia,KHM,2015,Hieratical,2
Cameroon,CMR,2015,Hieratical,1
Canada,CAN,2015,Hieratical,4
Central African Republic,CAF,2015,Hieratical,1
Chad,TCD,2015,Hieratical,1
Chile,CHL,2015,Hieratical,4
China,CHN,2015,Hieratical,5
Colombia,COL,2015,Hieratical,4
Congo (Brazzaville),COD,2015,Hieratical,2
Congo (Kinshasa),COG,2015,Hieratical,1
Costa Rica,CRI,2015,Hieratical,4
Croatia,HRV,2015,Hieratical,5
Cyprus,CYP,2015,Hieratical,5
Czech Republic,CZE,2015,Hieratical,4
Denmark,DNK,2015,Hieratical,4
Dominican Republic,DOM,2015,Hieratical,2
Ecuador,ECU,2015,Hieratical,5
Egypt,EGY,2015,Hieratical,2
El Salvador,SLV,2015,Hieratical,3
Estonia,EST,2015,Hieratical,5
Ethiopia,ETH,2015,Hieratical,1
Finland,FIN,2015,Hieratical,4
France,FRA,2015,Hieratical,5
Gabon,GAB,2015,Hieratical,2
Georgia,GEO,2015,Hieratical,2
Germany,DEU,2015,Hieratical,4
Ghana,GHA,2015,Hieratical,2
Greece,GRC,2015,Hieratical,5
Guatemala,GTM,2015,Hieratical,4
Guinea,GIN,2015,Hieratical,1
Haiti,HTI,2015,Hieratical,1
Honduras,HND,2015,Hieratical,3
Hong Kong,HKG,2015,Hieratical,5
Hungary,HUN,2015,Hieratical,5
Iceland,ISL,2015,Hieratical,4
India,IND,2015,Hieratical,2
Indonesia,IDN,2015,Hieratical,2
Iran,IRN,2015,Hieratical,2
Iraq,IRQ,2015,Hieratical,2
Ireland,IRL,2015,Hieratical,5
Israel,ISR,2015,Hieratical,4
Italy,ITA,2015,Hieratical,5
Ivory Coast,NA,2015,Hieratical,1
Jamaica,JAM,2015,Hieratical,5
Japan,JPN,2015,Hieratical,5
Jordan,JOR,2015,Hieratical,5
Kazakhstan,KAZ,2015,Hieratical,5
Kenya,KEN,2015,Hieratical,1
Kosovo,KSV,2015,Hieratical,5
Kuwait,KWT,2015,Hieratical,5
Kyrgyzstan,KGZ,2015,Hieratical,2
Latvia,LVA,2015,Hieratical,5
Lebanon,LBN,2015,Hieratical,5
Lesotho,LSO,2015,Hieratical,1
Liberia,LBR,2015,Hieratical,1
Libya,LBY,2015,Hieratical,5
Lithuania,LTU,2015,Hieratical,5
Luxembourg,LUX,2015,Hieratical,5
Macedonia,MKD,2015,Hieratical,5
Madagascar,MDG,2015,Hieratical,1
Malawi,MWI,2015,Hieratical,1
Malaysia,MYS,2015,Hieratical,5
Mali,MLI,2015,Hieratical,1
Malta,MLT,2015,Hieratical,5
Mauritania,MRT,2015,Hieratical,1
Mauritius,MUS,2015,Hieratical,5
Mexico,MEX,2015,Hieratical,4
Moldova,MDA,2015,Hieratical,3
Mongolia,MNG,2015,Hieratical,2
Montenegro,MNE,2015,Hieratical,5
Morocco,MAR,2015,Hieratical,3
Mozambique,MOZ,2015,Hieratical,1
Myanmar,MMR,2015,Hieratical,2
Namibia,NAM,2015,Hieratical,2
Nepal,NPL,2015,Hieratical,3
Netherlands,NLD,2015,Hieratical,4
New Zealand,NZL,2015,Hieratical,4
Nicaragua,NIC,2015,Hieratical,3
Niger,NER,2015,Hieratical,1
Nigeria,NGA,2015,Hieratical,3
Norway,NOR,2015,Hieratical,4
Pakistan,PAK,2015,Hieratical,3
Panama,PAN,2015,Hieratical,5
Paraguay,PRY,2015,Hieratical,5
Peru,PER,2015,Hieratical,5
Philippines,PHL,2015,Hieratical,3
Poland,POL,2015,Hieratical,5
Portugal,PRT,2015,Hieratical,2
Qatar,QAT,2015,Hieratical,5
Romania,ROU,2015,Hieratical,5
Russia,RUS,2015,Hieratical,5
Rwanda,RWA,2015,Hieratical,2
Saudi Arabia,SAU,2015,Hieratical,5
Senegal,SEN,2015,Hieratical,1
Serbia,SRB,2015,Hieratical,5
Sierra Leone,SLE,2015,Hieratical,1
Singapore,SGP,2015,Hieratical,5
Slovakia,SVK,2015,Hieratical,5
Slovenia,SVN,2015,Hieratical,5
Somalia,SOM,2015,Hieratical,3
South Africa,ZAF,2015,Hieratical,2
South Korea,KOR,2015,Hieratical,5
South Sudan,SSD,2015,Hieratical,1
Spain,ESP,2015,Hieratical,5
Sri Lanka,LKA,2015,Hieratical,2
Sudan,SDN,2015,Hieratical,1
Sweden,SWE,2015,Hieratical,4
Switzerland,CHE,2015,Hieratical,4
Syria,SYR,2015,Hieratical,2
Taiwan Province of China,TWN,2015,Hieratical,5
Tajikistan,TJK,2015,Hieratical,3
Tanzania,TZA,2015,Hieratical,2
Thailand,THA,2015,Hieratical,5
Togo,TGO,2015,Hieratical,1
Trinidad and Tobago,TTO,2015,Hieratical,5
Tunisia,TUN,2015,Hieratical,2
Turkey,TUR,2015,Hieratical,5
Turkmenistan,TKM,2015,Hieratical,5
Uganda,UGA,2015,Hieratical,1
Ukraine,UKR,2015,Hieratical,2
United Arab Emirates,ARE,2015,Hieratical,5
United Kingdom,GBR,2015,Hieratical,5
United States,USA,2015,Hieratical,4
Uruguay,URY,2015,Hieratical,5
Uzbekistan,UZB,2015,Hieratical,5
Venezuela,VEN,2015,Hieratical,5
Vietnam,VNM,2015,Hieratical,2
Yemen,YEM,2015,Hieratical,1
Zambia,ZMB,2015,Hieratical,1
Zimbabwe,ZWE,2015,Hieratical,1
Afghanistan,AFG,2016,Hieratical,1
Albania,ALB,2016,Hieratical,2
Algeria,DZA,2016,Hieratical,3
Angola,AGO,2016,Hieratical,4
Argentina,ARG,2016,Hieratical,3
Armenia,ARM,2016,Hieratical,2
Australia,AUS,2016,Hieratical,3
Austria,AUT,2016,Hieratical,3
Azerbaijan,AZE,2016,Hieratical,3
Bahrain,BHR,2016,Hieratical,3
Bangladesh,BGD,2016,Hieratical,5
Belarus,BLR,2016,Hieratical,3
Belgium,BEL,2016,Hieratical,3
Belize,BLZ,2016,Hieratical,5
Benin,BEN,2016,Hieratical,1
Bhutan,BTN,2016,Hieratical,2
Bolivia,BOL,2016,Hieratical,5
Bosnia and Herzegovina,BIH,2016,Hieratical,5
Botswana,BWA,2016,Hieratical,4
Brazil,BRA,2016,Hieratical,3
Bulgaria,BGR,2016,Hieratical,4
Burkina Faso,BFA,2016,Hieratical,4
Burundi,BDI,2016,Hieratical,1
Cambodia,KHM,2016,Hieratical,4
Cameroon,CMR,2016,Hieratical,5
Canada,CAN,2016,Hieratical,3
Chad,TCD,2016,Hieratical,4
Chile,CHL,2016,Hieratical,3
China,CHN,2016,Hieratical,3
Colombia,COL,2016,Hieratical,3
Comoros,COM,2016,Hieratical,4
Congo (Brazzaville),COD,2016,Hieratical,2
Congo (Kinshasa),COG,2016,Hieratical,4
Costa Rica,CRI,2016,Hieratical,3
Croatia,HRV,2016,Hieratical,3
Cyprus,CYP,2016,Hieratical,3
Czech Republic,CZE,2016,Hieratical,3
Denmark,DNK,2016,Hieratical,3
Dominican Republic,DOM,2016,Hieratical,2
Ecuador,ECU,2016,Hieratical,5
Egypt,EGY,2016,Hieratical,2
El Salvador,SLV,2016,Hieratical,5
Estonia,EST,2016,Hieratical,3
Ethiopia,ETH,2016,Hieratical,5
Finland,FIN,2016,Hieratical,3
France,FRA,2016,Hieratical,3
Gabon,GAB,2016,Hieratical,4
Georgia,GEO,2016,Hieratical,2
Germany,DEU,2016,Hieratical,3
Ghana,GHA,2016,Hieratical,2
Greece,GRC,2016,Hieratical,2
Guatemala,GTM,2016,Hieratical,3
Guinea,GIN,2016,Hieratical,4
Haiti,HTI,2016,Hieratical,4
Honduras,HND,2016,Hieratical,2
Hong Kong,HKG,2016,Hieratical,2
Hungary,HUN,2016,Hieratical,2
Iceland,ISL,2016,Hieratical,3
India,IND,2016,Hieratical,2
Indonesia,IDN,2016,Hieratical,2
Iran,IRN,2016,Hieratical,2
Iraq,IRQ,2016,Hieratical,2
Ireland,IRL,2016,Hieratical,3
Israel,ISR,2016,Hieratical,3
Italy,ITA,2016,Hieratical,3
Ivory Coast,NA,2016,Hieratical,4
Jamaica,JAM,2016,Hieratical,3
Japan,JPN,2016,Hieratical,3
Jordan,JOR,2016,Hieratical,3
Kazakhstan,KAZ,2016,Hieratical,3
Kenya,KEN,2016,Hieratical,2
Kosovo,KSV,2016,Hieratical,5
Kuwait,KWT,2016,Hieratical,3
Kyrgyzstan,KGZ,2016,Hieratical,2
Laos,LAO,2016,Hieratical,2
Latvia,LVA,2016,Hieratical,3
Lebanon,LBN,2016,Hieratical,2
Liberia,LBR,2016,Hieratical,4
Libya,LBY,2016,Hieratical,3
Lithuania,LTU,2016,Hieratical,3
Luxembourg,LUX,2016,Hieratical,3
Macedonia,MKD,2016,Hieratical,2
Madagascar,MDG,2016,Hieratical,4
Malawi,MWI,2016,Hieratical,4
Malaysia,MYS,2016,Hieratical,3
Mali,MLI,2016,Hieratical,4
Malta,MLT,2016,Hieratical,3
